index,创作者ID,创作者名称_x,是否官方_x,5月被开练课程数量,开练UV,开练PV,首次开练UV,首次开练PV,5月被完练课程数量,完练UV,完练PV,首次完练UV,首次完练PV,首次完练&复练UV,创作者次月完练-完练留存UV,详情页UV,详情页PV,创作者月完练-完练留存UV,创作者月完练-7日内App留存UV,次月复练率-UV,完练率-UV,当月复练率,完练-7日内App留存率,创作者名称_y,是否官方_y,classif
194,623a9dcc258c930001e966f3,仁慈的眼泪笑了,[false],9.0,11993.0,22834.0,11078.0,12411.0,9.0,6169.0,12543.0,5816.0,5886.0,1594.0,669.0,30099.0,68497.0,1809.0,4925.0,0.11,0.51,0.29,0.8,仁慈的眼泪笑了,[false],2
195,5edf35bcb52fab283f1426df,叶的冒险,[false],28.0,11925.0,34578.0,10123.0,14147.0,28.0,6384.0,22797.0,4778.0,5825.0,2144.0,1613.0,38046.0,146892.0,2936.0,5512.0,0.25,0.54,0.46,0.86,叶的冒险,[false],1
196,611cb310a78eee557f64f96a,Yee起Keep,[true],5.0,11916.0,26625.0,9006.0,10349.0,5.0,7306.0,19713.0,4648.0,4713.0,1197.0,1292.0,29604.0,83085.0,2691.0,6111.0,0.18,0.61,0.37,0.84,Yee起Keep,[true],1
197,5bb56a517511ce7169cd1690,阿免就是我-妍瑄,[false],12.0,11745.0,37578.0,4979.0,5826.0,12.0,9945.0,32416.0,3538.0,3646.0,1297.0,4084.0,29202.0,89892.0,5226.0,8910.0,0.41,0.85,0.53,0.9,阿免就是我-妍瑄,[false],1
198,58648c874933032f5e8c43c8,Koach大羽,[false],276.0,11593.0,33309.0,1495.0,1961.0,34.0,1468.0,3583.0,1046.0,1244.0,265.0,349.0,36692.0,129268.0,457.0,1259.0,0.24,0.13,0.31,0.86,Koach大羽,[false],1
199,623a9dcde261b900018e5b5a,简单的小狐狸,[false],20.0,11305.0,20952.0,10862.0,12169.0,20.0,9854.0,17404.0,9573.0,10208.0,2109.0,1252.0,29387.0,66002.0,2199.0,7867.0,0.13,0.87,0.22,0.8,简单的小狐狸,[false],2
200,60bde5eba78eee1e25cdd105,睿心Wiseheart,[false],12.0,11129.0,29251.0,8958.0,12107.0,12.0,6879.0,19302.0,4996.0,5854.0,1364.0,1972.0,17051.0,70139.0,2413.0,6137.0,0.29,0.62,0.35,0.89,睿心Wiseheart,[false],1
201,5bd92292e666860c69515c78,ken徐浩,[false],9.0,10974.0,25108.0,6545.0,7558.0,9.0,9126.0,20639.0,4972.0,5065.0,1482.0,3240.0,31766.0,117451.0,3819.0,8304.0,0.36,0.83,0.42,0.91,ken徐浩,[false],1
202,623a9da77a2da10001b464f8,积极进取的依旧囍欢,[false],22.0,10688.0,17842.0,9833.0,10799.0,22.0,6632.0,11518.0,6022.0,6185.0,1045.0,413.0,32036.0,59611.0,1371.0,5195.0,0.06,0.62,0.21,0.78,积极进取的依旧囍欢,[false],2
203,623a9d9bca0ace00010feb87,直率的心病i,[false],21.0,10559.0,15453.0,9708.0,10129.0,20.0,9518.0,13146.0,8819.0,8877.0,1150.0,405.0,31173.0,50753.0,1414.0,7508.0,0.04,0.9,0.15,0.79,直率的心病i,[false],2
204,623a9da2258c930001e9647b,足智多谋的坚强太久,[false],43.0,10440.0,18521.0,9405.0,11579.0,40.0,8569.0,14105.0,7800.0,9084.0,1204.0,63.0,29891.0,70901.0,1435.0,7025.0,0.01,0.82,0.17,0.82,足智多谋的坚强太久,[false],2
